Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
9410, Yes, 53-6051, 28.53, 31.21, 41.59, 43.66, 47.38, 33.84, 35.25, 53.26, 42.68, 37.41, 39.57, 17.81, 29.88 
9420, No , 53-60XX, 28.14, 27.76, 33.00, 41.11, 40.94, 25.31, 30.42, 42.34, 29.13, 29.08, 40.31, 16.01, 29.41 
9500, Yes, 53-7011, 18.72, 16.76, 27.90, 27.79, 21.54, 23.99, 22.59, 22.37, 26.76, 23.12, 18.03, 10.56, 18.59 
9510, No , 53-7021, 21.97, 21.74, 42.82, 35.85, 20.79, 43.69, 28.14, 20.70, 43.84, 30.00, 27.50, 40.65, 31.74 
9520, Yes, 53-7030, 21.89, 21.21, 40.43, 31.31, 19.51, 31.90, 24.90, 19.25, 32.11, 25.50, 27.38, 23.45, 27.72 
9560, No , 53-7041, 21.44, 20.65, 44.02, 33.81, 20.81, 29.26, 24.94, 20.24, 29.81, 24.96, 38.99, 22.18, 31.87 
9600, Yes, 53-7051, 18.29, 16.21, 35.16, 29.00, 19.62, 19.62, 21.84, 18.69, 19.62, 20.19, 23.51, 14.68, 23.77 
9610, Yes, 53-7061, 17.62, 14.97, 20.31, 29.57, 21.01, 10.57, 18.77, 21.45, 10.97, 15.50, 20.76, 9.29, 19.97 
9620, No , 53-7062, 19.54, 16.82, 24.32, 34.25, 26.11, 12.97, 21.81, 26.96, 14.29, 19.20, 24.80, 8.27, 20.86 
9630, Yes, 53-7063, 18.17, 15.97, 35.96, 26.28, 20.04, 14.40, 20.15, 21.09, 16.70, 19.35, 15.99, 7.96, 16.72 
9640, Yes, 53-7064, 16.60, 15.85, 22.59, 24.41, 19.65, 8.10, 16.60, 23.43, 11.06, 16.23, 16.72, 5.97, 15.53 
9650, Yes, 53-7070, 26.39, 25.85, 37.54, 46.11, 48.08, 50.20, 38.78, 47.30, 51.61, 38.76, 50.34, 30.72, 37.07 
9720, Yes, 53-7081, 17.36, 15.12, 27.44, 25.30, 17.17, 21.05, 21.00, 16.34, 21.18, 20.04, 31.38, 18.74, 28.11 
9730, No , 53-7111, 19.52, 17.98, 26.75, 31.00, 25.54, 31.43, 27.56, 25.54, 34.52, 28.33, 21.42, 12.90, 22.15 
9740, Yes, 53-7121, 19.57, 18.03, 27.60, 31.44, 26.06, 31.82, 27.78, 26.09, 34.81, 28.50, 22.11, 13.60, 22.56 
9750, Yes, 53-7199, 19.35, 17.51, 27.45, 31.34, 26.47, 25.48, 26.22, 26.56, 28.07, 25.87, 24.22, 11.78, 22.72 
